"cluster","page type","URL","primary query","secondary queries","search intent","traffic potential bucket","monetization relevance","cannibalization risk","content status","implementation priority"
"PDF workflows","tool","/en/tools/compress-pdf","compress pdf","Compress PDF online|browser compress pdf|private compress pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/merge-pdf","merge pdf","Merge PDF online|browser merge pdf|private merge pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/split-pdf","split pdf","Split PDF online|browser split pdf|private split pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/organize-pdf","organize pdf","Organize PDF online|browser organize pdf|private organize pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/jpg-to-pdf","jpg to pdf","JPG To PDF online|browser jpg to pdf|private jpg to pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-jpg","pdf to jpg","PDF To JPG online|browser pdf to jpg|private pdf to jpg","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/edit-pdf","edit pdf","Edit PDF online|browser edit pdf|private edit pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/sign-pdf","sign pdf","Sign PDF online|browser sign pdf|private sign pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/encrypt-pdf","encrypt pdf","Encrypt PDF online|browser encrypt pdf|private encrypt pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/decrypt-pdf","decrypt pdf","Decrypt PDF online|browser decrypt pdf|private decrypt pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/ocr-pdf","ocr pdf","OCR PDF online|browser ocr pdf|private ocr pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/crop-pdf","crop pdf","Crop PDF online|browser crop pdf|private crop pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/rotate-pdf","rotate pdf","Rotate PDF online|browser rotate pdf|private rotate pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/remove-metadata","remove metadata","Remove Metadata online|browser remove metadata|private remove metadata","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/sanitize-pdf","sanitize pdf","Sanitize PDF online|browser sanitize pdf|private sanitize pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/repair-pdf","repair pdf","Repair PDF online|browser repair pdf|private repair pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/flatten-pdf","flatten pdf","Flatten PDF online|browser flatten pdf|private flatten pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-docx","pdf to docx","PDF To Docx online|browser pdf to docx|private pdf to docx","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/word-to-pdf","word to pdf","Word To PDF online|browser word to pdf|private word to pdf","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/extract-pages","extract pages","Extract Pages online|browser extract pages|private extract pages","Complete one PDF task in the browser","High","High","Low","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/delete-pages","delete pages","Delete Pages online|browser delete pages|private delete pages","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/png-to-pdf","png to pdf","PNG To PDF online|browser png to pdf|private png to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/image-to-pdf","image to pdf","Image To PDF online|browser image to pdf|private image to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-png","pdf to png","PDF To PNG online|browser pdf to png|private pdf to png","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-excel","pdf to excel","PDF To Excel online|browser pdf to excel|private pdf to excel","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/excel-to-pdf","excel to pdf","Excel To PDF online|browser excel to pdf|private excel to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-pptx","pdf to pptx","PDF To Pptx online|browser pdf to pptx|private pdf to pptx","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pptx-to-pdf","pptx to pdf","Pptx To PDF online|browser pptx to pdf|private pptx to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/txt-to-pdf","txt to pdf","Txt To PDF online|browser txt to pdf|private txt to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/json-to-pdf","json to pdf","Json To PDF online|browser json to pdf|private json to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-json","pdf to json","PDF To Json online|browser pdf to json|private pdf to json","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-markdown","pdf to markdown","PDF To Markdown online|browser pdf to markdown|private pdf to markdown","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/add-watermark","add watermark","Add Watermark online|browser add watermark|private add watermark","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/page-numbers","page numbers","Page Numbers online|browser page numbers|private page numbers","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/header-footer","header footer","Header Footer online|browser header footer|private header footer","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/form-filler","form filler","Form Filler online|browser form filler|private form filler","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/form-creator","form creator","Form Creator online|browser form creator|private form creator","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/bookmark","bookmark","Bookmark online|browser bookmark|private bookmark","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/table-of-contents","table of contents","Table Of Contents online|browser table of contents|private table of contents","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/extract-images","extract images","Extract Images online|browser extract images|private extract images","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/add-attachments","add attachments","Add Attachments online|browser add attachments|private add attachments","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/extract-attachments","extract attachments","Extract Attachments online|browser extract attachments|private extract attachments","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/edit-metadata","edit metadata","Edit Metadata online|browser edit metadata|private edit metadata","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/view-metadata","view metadata","View Metadata online|browser view metadata|private view metadata","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/compare-pdfs","compare pdfs","Compare Pdfs online|browser compare pdfs|private compare pdfs","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
